,Oxygen,Biomass,Carbon_Source
0,0.283579202537543,0.01659061537220986,D-Glucose
1,0.28357920253754304,0.016590615372209877,D-Fructose
2,0.2835792025375431,0.01659061537220988,Cellobiose
3,0.31940024241066595,0.015761084603599398,D-Ribose
4,0.337227310600136,0.019207858537627607,Glycerol
5,0.32868929392553675,0.012651267007190428,Succinate
6,0.5599887614865207,0.011843739325880403,Benzoate
7,0.25018382210208684,0.011574563432110389,Fumarate
8,0.2659969169172984,0.011208369465027493,Glycine
9,0.28507343140292934,0.01424024849345814,L-Glutamine
